P_Tx_dBm;L_cable;shadow_std;lat;lon;ci;distance;rsrpPhone;rsrpLos;rsrpNlos;rsrpLosLib;rsrpNlosLib;diff_nlos;diff_nlos_lib
40;3;8;55.0133359;82.9527519;138256652;135.925497354667;-78;-43.5217587956819;-73.1337179594013;-43.5217649269693;-67.1862493301372;-4.86628204059873;-10.8137506698628
40;3;8;55.013324;82.9527813;138256652;137.861281058069;-78;-43.653001189528;-66.9159504801293;-43.6530059465947;-60.5273113668254;-11.0840495198707;-17.4726886331746
40;3;8;55.013324;82.9527813;138256652;137.861281058069;-78;-43.653001189528;-56.6623294105197;-43.6530059465947;-64.458870638258;-21.3376705894803;-13.541129361742
40;3;8;55.0133038;82.9528239;138256652;140.707092893407;-78;-43.8428178500302;-65.741796930317;-43.8428202733476;-64.4875485792056;-12.258203069683;-13.5124514207944
40;3;8;55.0133038;82.9528239;138256652;140.707092893407;-78;-43.8428178500302;-57.4401258301216;-43.8428202733476;-56.0407677579609;-20.5598741698784;-21.9592322420391
40;3;8;55.0132862;82.9528714;138256652;143.87113096038;-78;-44.0496438540272;-65.6961100171719;-44.0496442464799;-53.6485784696214;-12.3038899828281;-24.3514215303786
40;3;8;55.0132862;82.9528714;138256652;143.87113096038;-78;-44.0496438540272;-69.3235870832322;-44.0496442464799;-55.8232058250619;-8.67641291676776;-22.1767941749381
40;3;8;55.0436165;82.9227836;138256652;3800.68581032118;-78;-82.6270387347303;-123.232595926172;-95.0375765935452;-131.973625028531;45.2325959261718;53.9736250285305
40;3;8;55.0132285;82.9530163;138256652;153.694582457777;-74;-44.6653245039551;-71.6030694311001;-44.6653182683653;-67.2231851773185;-2.3969305688999;-6.77681482268154
40;3;8;55.0132285;82.9530163;138256652;153.694582457777;-74;-44.6653245039551;-66.9412738745844;-44.6653182683653;-70.8122825854519;-7.05872612541559;-3.18771741454808
40;3;8;55.0132091;82.9530518;138256652;156.204504151965;-74;-44.816614100449;-53.2814622300514;-44.8166056557667;-62.5292864367783;-20.7185377699486;-11.4707135632217
40;3;8;55.0132091;82.9530518;138256652;156.204504151965;-74;-44.816614100449;-80.0868677296651;-44.8166056557667;-79.553641724709;6.08686772966509;5.55364172470902
40;3;8;55.0132013;82.9530919;138256652;158.852114197619;-74;-44.9737055277299;-61.0913871701279;-44.9736961906362;-65.940867578764;-12.9086128298721;-8.05913242123604
40;3;8;55.0132013;82.9530919;138256652;158.852114197619;-74;-44.9737055277299;-55.4024164834397;-44.9736961906362;-66.2245035456531;-18.5975835165603;-7.77549645434688
40;3;8;55.0132091;82.9531107;138256652;159.929631510268;-74;-45.0369219573925;-70.562902210519;-45.0369134976294;-71.7811131543198;-3.43709778948104;-2.21888684568017
40;3;8;55.0132091;82.9531107;138256652;159.929631510268;-74;-45.0369219573925;-77.1977445451516;-45.0369134976294;-69.0475976096761;3.19774454515164;-4.95240239032391
40;3;8;55.0132111;82.9531084;138256652;159.756448241388;-74;-45.026789095594;-57.0991967072814;-45.0267808631787;-69.7565734936764;-16.9008032927186;-4.24342650632356
40;3;8;55.0132113;82.9531081;138256652;159.734715262149;-74;-45.025516767624;-64.353302789639;-45.0255085579682;-63.2950090740508;-9.64669721036101;-10.7049909259492
40;3;8;55.0132113;82.9531079;138256652;159.722061679767;-74;-45.0247759043431;-71.7577455638873;-45.024767694735;-58.522603296232;-2.24225443611266;-15.477396703768
40;3;8;55.0132113;82.9531079;138256652;159.722061679767;-74;-45.0247759043431;-64.8164396758369;-45.024767694735;-54.5780622374252;-9.18356032416305;-19.4219377625748
40;3;8;55.013209;82.9530974;138256652;159.089748361687;-74;-44.9876824011003;-65.6270942425787;-44.9876739333239;-72.4268844661109;-8.37290575742125;-1.57311553388912
40;3;8;55.0132098;82.9530959;138256652;158.983696944371;-74;-44.9814472704948;-72.6595761968844;-44.9814388937368;-50.2720171674685;-1.34042380311561;-23.7279828325315
40;3;8;55.0132169;82.9530942;138256652;158.779065747801;-74;-44.9694050322063;-62.9679216161128;-44.969397461551;-64.4118890438172;-11.0320783838872;-9.58811095618276
40;3;8;55.0132172;82.9530952;138256652;158.838342789737;-74;-44.9728949246278;-69.7632128872008;-44.9728873878492;-70.0984521286055;-4.23678711279916;-3.90154787139447
40;3;8;55.0132172;82.9530952;138256652;158.838342789737;-74;-44.9728949246278;-76.53796457655;-44.9728873878492;-69.5729771305138;2.53796457655;-4.42702286948618
